zp,mu,absmagnitude,magnitude,time,e_absmagnitude,upperlimit,z,instrument,e_magnitude,e_flux,name,flux,band,e_zp,facility
-48.6,37.65880949200498,-14.955883713126532,22.702925778878445,58155.627244,10.22671665650061,False,0.07944,Kepler,11.320253895975055,2.7963303404355267e-29,2017jgh,3.011824684916961e-29,K,0.0,Kepler
-48.6,37.65880949200498,-12.945577693247564,24.713231798757413,58155.647678,65.1206525685345,False,0.07944,Kepler,4.062612482445684,2.7963303404355267e-29,2017jgh,4.728324569916116e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.963831165998535,22.694978326006442,58155.668111,10.15805597653338,False,0.07944,Kepler,11.309853379133383,2.7963303404355267e-29,2017jgh,3.033951748808431e-29,K,0.0,Kepler
-48.6,37.65880949200498,-16.19378631909492,21.46502317291006,58155.688545,3.275595517001609,False,0.07944,Kepler,5.856558862248662,2.7963303404355267e-29,2017jgh,9.418694939510681e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.20290806185141,24.455901430153567,58155.729412,51.352615185204435,False,0.07944,Kepler,5.011084991031629,2.7963303404355267e-29,2017jgh,5.99293307666089e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.187456664865671,23.471352827139306,58155.749846,20.74527786047832,False,0.07944,Kepler,9.719238837499942,2.7963303404355267e-29,2017jgh,1.4840853197020813e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.291000754716798,22.36780873728818,58155.770279,7.509014209642458,False,0.07944,Kepler,10.411348751757512,2.7963303404355267e-29,2017jgh,4.1008747493530566e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.14694993997454,23.511859552030437,58155.790713,21.52354488222357,False,0.07944,Kepler,9.53006089295363,2.7963303404355267e-29,2017jgh,1.429737075089549e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.160087417697405,22.498722074307572,58155.811146,8.472118137827069,False,0.07944,Kepler,10.873121008163572,2.7963303404355267e-29,2017jgh,3.635056539778299e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.433373347936957,24.22543614406802,58155.83158,41.543467678798365,False,0.07944,Kepler,5.998390512254197,2.7963303404355267e-29,2017jgh,7.410125141618723e-30,K,0.0,Kepler
-48.6,37.65880949200498,-14.04852063432373,23.610288857681248,58155.852014000004,23.556728748740966,False,0.07944,Kepler,-9.051608140311664,2.7963303404355267e-29,2017jgh,-1.3058234305198693e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.545189863322896,22.11361962868208,58155.872447,5.943279010424475,False,0.07944,Kepler,9.241222254638123,2.7963303404355267e-29,2017jgh,5.182653197159714e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.484515893361966,24.17429359864301,58155.892881,39.616911557260124,False,0.07944,Kepler,-6.234016541675874,2.7963303404355267e-29,2017jgh,-7.767523226206148e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.953388128474039,23.705421363530938,58155.913315,25.713172003126953,False,0.07944,Kepler,-8.572362349579741,2.7963303404355267e-29,2017jgh,-1.1962761782013757e-29,K,0.0,Kepler
-48.6,37.65880949200498,-15.510238423131234,22.148571068873743,58155.933748,6.136475495705551,False,0.07944,Kepler,9.41742513156562,2.7963303404355267e-29,2017jgh,5.01847277485293e-29,K,0.0,Kepler
-48.6,37.65880949200498,-13.521119086873789,24.13769040513119,58155.954182,38.29656335310062,False,0.07944,Kepler,6.4059957432487336,2.7963303404355267e-29,2017jgh,8.033852204809136e-30,K,0.0,Kepler
-48.6,37.65880949200498,-13.855632755408912,23.803176736596065,58155.974615,28.14746328637712,False,0.07944,Kepler,8.07236512662168,2.7963303404355267e-29,2017jgh,1.0932747185271137e-29,K,0.0,Kepler
-48.6,37.65880949200498,-14.08462065342622,23.574188838578756,58155.995049,22.789978501931877,False,0.07944,Kepler,9.229703234940793,2.7963303404355267e-29,2017jgh,1.3499710791484248e-29,K,0.0,Kepler
